[09/02/2023 11:03:02]http://localhost:8080/demo/all_Partida erabiliz, partiden informazioa gorde da.
[09/02/2023 11:03:02]http://localhost:8080/demo/all_Langilea erabiliz, langileen informazioa gorde da.
[09/02/2023 11:44:39]http://localhost:8080/demo/all_Partida erabiliz, partiden informazioa gorde da.
[09/02/2023 11:57:15]http://localhost:8080/demo/all_Partida erabiliz, partiden informazioa gorde da.
[09/02/2023 11:58:10]http://localhost:8080/demo/all_Partida erabiliz, partiden informazioa gorde da.
[09/02/2023 11:59:59]http://localhost:8080/demo/all_Partida erabiliz, partiden informazioa gorde da.
[09/02/2023 12:01:00]http://localhost:8080/demo/all_Partida erabiliz, partiden informazioa gorde da.
[09/02/2023 12:03:40]http://localhost:8080/demo/all_Partida erabiliz, partiden informazioa gorde da.
[09/02/2023 12:06:34]http://localhost:8080/demo/all_Partida erabiliz, partiden informazioa gorde da.
[09/02/2023 12:15:10]http://localhost:8080/demo/all_Partida erabiliz, partiden informazioa gorde da. (7) datu berri gorde dira.
[09/02/2023 12:48:14]http://localhost:8080/demo/all_Partida erabiliz, partiden informazioa gorde da. (22) datu berri gorde dira.
